nconst	closeness	betweenness	degree	primaryName	gender
nm0000116	0.31094161507678625	0.00032353997033526355	0.0018785222291797118	James Cameron	male
nm0000155	0.26859101249741485	0.0011556307514816557	0.005009392611145898	Whoopi Goldberg	female
nm0000175	0.26767364484880607	0.00018714025168524334	0.0012523481527864746	Stephen King	male
nm0000255	0.2474751599292228	0.0	0.0006261740763932373	Ben Affleck	male
nm0000339	0.184323107803978	0.0	0.0006261740763932373	Roger Corman	male
nm0000341	0.29319185990260266	0.00012178259121867052	0.004383218534752661	Michael Crichton	male
nm0000519	0.24535125360969423	0.0	0.0006261740763932373	David Mamet	male
nm0000600	0.23171819641628222	5.5002553358828e-05	0.0012523481527864746	Sam Raimi	male
nm0000916	0.25725119556297577	0.00018790976607877804	0.0018785222291797118	Peter Berg	male
nm0001027	0.3295153865671101	0.0018466475337521233	0.0031308703819661866	Shaun Cassidy	male
nm0001081	0.2741473417568831	0.00010855886852113704	0.0012523481527864746	Cameron Crowe	male
nm0001104	0.2265895665611525	0.0007487712373176653	0.0018785222291797118	Frank Darabont	male
nm0001246	0.2671387852252358	0.0002753171499707192	0.0012523481527864746	Dan Futterman	male
nm0001299	0.244178238564637	0.0	0.0006261740763932373	Thomas Ian Griffith	male
nm0001438	0.23156473674826156	0.0014444599305336583	0.005009392611145898	Neil LaBute	male
nm0001465	0.263057380132527	0.0	0.0006261740763932373	Elmore Leonard	male
nm0001486	0.24003907797111398	0.0	0.0006261740763932373	Sidney Lumet	male
nm0001493	0.28162076763421207	0.00018569490552694203	0.0018785222291797118	Peter MacNicol	male
nm0001741	0.3083471831224774	6.356179050638284e-05	0.0012523481527864746	Bryan Singer	male
nm0001873	0.21741002032763362	0.0	0.0006261740763932373	Steven Zaillian	male
nm0001880	0.26601316752011706	0.00042348415316113304	0.0018785222291797118	Edward Zwick	male
nm0001885	0.2676578831149713	0.0	0.0006261740763932373	Lars von Trier	male
nm0001921	0.2770210561599171	0.00024114617000909464	0.0012523481527864746	Paul Attanasio	male
nm0002041	0.3083471831224774	6.356179050638284e-05	0.0012523481527864746	Dean Devlin	male
nm0002417	0.256887733476504	5.503502111215788e-06	0.0012523481527864746	Daniel Pyne	male
nm0002526	0.2625711232417757	0.0	0.0006261740763932373	Robert Zappia	male
nm0002704	0.26902021128636106	1.4325782785714818e-05	0.0012523481527864746	Bill D'Elia	male
nm0002718	0.2238886836596478	0.0009352924767493157	0.002504696305572949	Brian Koppelman	male
nm0002749	0.2920240274967075	5.106823363476428e-05	0.0012523481527864746	Michael Nankin	male
nm0002787	0.27403165033911075	0.0	0.0006261740763932373	Steve Cohen	male
nm0002932	0.3195318266493269	0.0017877621505651658	0.008140262993112084	Greg Walker	male
nm0002973	0.184323107803978	0.0	0.0006261740763932373	Lev L. Spiro	male
nm0003021	0.23497634986688723	1.33479731232955e-08	0.0012523481527864746	Chris McKay	male
nm0003160	0.27413080843108284	0.0001356790075559043	0.002504696305572949	Christopher McQuarrie	male
nm0003298	0.3020566833903711	0.0004552135579518424	0.002504696305572949	Scott Rosenberg	male
nm0003535	0.3065587590625527	0.0008587506280171433	0.0031308703819661866	Ken Sanzel	male
nm0003588	0.26591979407377075	0.00080596104841496	0.0012523481527864746	Craig Pryce	male
nm0003662	0.32580726086800704	0.0023597042672526053	0.005009392611145898	Graham Yost	male
nm0003833	0.21399147894451898	0.0	0.0006261740763932373	James D. Solomon	male
nm0003994	0.2975290459826542	0.00038194970595308833	0.0012523481527864746	Christian Williams	male
nm0004111	0.25948337376908803	0.0	0.0006261740763932373	Mark Frost	male
nm0004262	0.27434589733530496	3.8818814848359665e-05	0.0012523481527864746	Lynn Marie Latham	female
nm0004277	0.27693666798671823	0.00034940386388468577	0.0037570444583594235	Adam Belanoff	male
nm0004307	0.28740792260756853	0.0002480549093663335	0.0018785222291797118	Shane Salerno	male
nm0004675	0.255774695439327	0.0	0.0006261740763932373	Phil Alden Robinson	male
nm0004766	0.3224101854807249	0.0023216723607042515	0.006261740763932373	Steven Bochco	male
nm0004810	0.3142521345362785	0.0007945539157118196	0.0037570444583594235	Chris Carter	male
nm0005022	0.2430813658119201	0.0	0.0006261740763932373	Peter Horton	male
nm0005082	0.3256205451484652	0.005140907786541739	0.011897307451471509	David E. Kelley	male
nm0005167	0.2693549820746052	0.0	0.0006261740763932373	Lorna Luft	female
nm0005190	0.22805609211549557	0.0	0.0006261740763932373	Garry Marshall	male
nm0005227	0.21343882797642805	6.673941268562951e-06	0.0018785222291797118	Breckin Meyer	male
nm0005282	0.2654384069607872	0.0	0.0006261740763932373	Mike O'Malley	male
nm0005327	0.25080696333489666	0.0	0.0006261740763932373	Freddie Prinze Jr.	male
nm0005403	0.24408645455765873	0.0	0.0006261740763932373	Jason Schwartzman	male
nm0006512	0.22130528980744418	0.0	0.0006261740763932373	Steven Katz	male
nm0006554	0.2906051209922322	0.0002641487155565934	0.0031308703819661866	Rodrigo García	male
nm0006809	0.3037725131152471	0.0037136322294249843	0.005635566687539136	Stephen Tolkin	male
nm0006815	0.31926251097453906	0.001943748315626017	0.0031308703819661866	Scott Kaufer	male
nm0006878	0.2706379685034682	0.0010100972751729386	0.0018785222291797118	Michael B. Silver	male
nm0006997	0.2869543259366813	0.0015243816671114529	0.004383218534752661	Peter M. Lenkov	male
nm0007029	0.2906051209922322	0.0009359860933708385	0.0031308703819661866	Trey Callaway	male
nm0007091	0.31908321926222316	0.0025519642785970225	0.004383218534752661	Gabe Sachs	male
nm0007158	0.27403165033911075	0.0	0.0006261740763932373	Niels Mueller	male
nm0007832	0.22909054254970643	9.56261787112029e-06	0.0012523481527864746	Andrea Abbate	female
nm0008003	0.21988148506469948	8.759607362162674e-09	0.0012523481527864746	Kevin Abbott	male
nm0008036	0.31595593090744795	0.002121897741232676	0.005635566687539136	Paul Abbott	male
nm0008053	0.23730716019734266	7.007685889730139e-08	0.0012523481527864746	Scott Abbott	male
nm0008743	0.22446359349151873	8.617297281330444e-05	0.0012523481527864746	Jonathan Aibel	male
nm0009178	0.29733442354865086	0.0021372935729878557	0.0037570444583594235	Gayle Abrams	female
nm0009190	0.3201845525305533	0.0025344815267467243	0.00939261114589856	J.J. Abrams	male
nm0009921	0.2723079227197843	0.0	0.0006261740763932373	Ben Acker	male
nm0010004	0.2715109159872174	0.0	0.0006261740763932373	Peter Ackerman	male
nm0011814	0.20866711042761724	7.930783774419356e-06	0.0012523481527864746	Ilunga Adell	male
nm0011882	0.3071802669369826	0.0024202456866268137	0.0031308703819661866	Paul Adelstein	male
nm0011925	0.2561783188209767	0.0003156071108504262	0.0037570444583594235	Tammy Ader	female
nm0012100	0.3083471831224774	0.00046587517841184084	0.002504696305572949	Ali Adler	male
nm0012289	0.23943216834786274	6.854927989576216e-05	0.0012523481527864746	Stephen Adly Guirgis	male
nm0013583	0.29913461222072324	9.264045661804373e-05	0.0012523481527864746	Michael Aguilar	male
nm0013928	0.21377007548145885	0.0	0.0006261740763932373	Valerie Ahern	female
nm0015327	0.3046275508494454	0.003746298265124007	0.004383218534752661	Mara Brock Akil	female
nm0015328	0.2811330673841111	0.0011452315813923449	0.0018785222291797118	Salim Akil	male
nm0016279	0.2818477755386762	0.0003962461278933767	0.0012523481527864746	Tina Albanese	female
nm0018291	0.2528719646185085	0.0	0.0006261740763932373	Brian A. Alexander	male
nm0018504	0.30485228530230374	0.003910088486453563	0.005009392611145898	Jesse Alexander	male
nm0018735	0.2623740944904615	0.000187175290114692	0.0012523481527864746	Scott Alexander	male
nm0022935	0.18063862340294473	0.00033621419762194885	0.002504696305572949	Shelly Altman	female
nm0023897	0.33243134530295826	0.0029304544148349744	0.00939261114589856	David Amann	male
nm0024169	0.29503780871709995	0.0022200265212829477	0.002504696305572949	Mark Amato	male
nm0024718	0.2886306632377687	0.00023540972161938432	0.002504696305572949	Jonathan Ames	male
nm0024856	0.22130528980744418	0.0	0.0006261740763932373	Jack Amiel	male
nm0024925	0.1796249827112683	0.0	0.0006261740763932373	Hossein Amini	male
nm0025749	0.1771744850032157	0.0	0.0006261740763932373	Joseph Anaya	male
nm0025811	0.2571347758450007	0.00043339235216332416	0.0031308703819661866	Bernie Ancheta	male
nm0026968	0.24507346003504515	3.416965363031769e-05	0.0018785222291797118	Josef Anderson	male
nm0027442	0.18448769202670617	0.0	0.0006261740763932373	Sheri Anderson	female
nm0027526	0.21886510821677058	0.0	0.0006261740763932373	Tom Anderson	male
nm0028982	0.3341173876290933	0.003690063970150371	0.0037570444583594235	Laurence Andries	female
nm0029445	0.24458554171486993	0.0	0.0006261740763932373	Dan Angel	male
nm0029556	0.34465632937786705	0.006521673383981045	0.0068879148403256105	Michael Angeli	male
nm0029646	0.3250384354106332	0.0015779853619616833	0.0031308703819661866	Vincent Angell	male
nm0031011	0.12674446163927114	0.00018725954919503282	0.002504696305572949	Sheila M. Anthony	female
nm0031028	0.19394133333333333	0.0	0.0006261740763932373	Trey Anthony	female
nm0031078	0.2607037366292908	0.0	0.0006261740763932373	Steve Antin	male
nm0031976	0.2636065763911039	0.0031631800614246638	0.004383218534752661	Judd Apatow	male
nm0032219	0.2490616695433002	0.0007612765941437495	0.002504696305572949	Richard Appel	male
nm0032227	0.3191728399396131	0.0012101701473934807	0.0037570444583594235	Josh Appelbaum	male
nm0032566	0.2421877081279804	0.00013081661065161764	0.0018785222291797118	Harold Apter	male
nm0032696	0.25080696333489666	0.0	0.0006261740763932373	Avi Arad	male
nm0033154	0.27712238987959154	0.0014556846110407888	0.0037570444583594235	Elaine Arata	female
nm0034359	0.32834904467800774	0.002093108914431425	0.005635566687539136	Laurie Arent	female
nm0035024	0.20883008292559668	0.00011813918564266989	0.0012523481527864746	Kevin Arkadie	male
nm0036169	0.2775793105554029	1.8851817624025235e-06	0.0012523481527864746	Kira Arne' Verica	female
nm0036559	0.2281705694852295	0.0002533406937827053	0.0012523481527864746	Matthew Arnold	male
nm0036950	0.2863036563474317	0.0	0.0006261740763932373	Lee Aronsohn	male
nm0036961	0.23869036679181874	6.322373446018943e-06	0.0012523481527864746	Elaine Aronson	female
nm0038933	0.32136166000919086	0.0011501468641971226	0.0037570444583594235	Michelle Ashford	female
nm0039101	0.2824081264949831	0.0013655372657038628	0.002504696305572949	Nikki Schiefelbein	female
nm0040612	0.20174874059608086	0.0	0.0006261740763932373	Jane Atkins	female
nm0041469	0.33816910315069004	0.0028163604158966023	0.004383218534752661	Remi Aubuchon	male
nm0041864	0.2857277556023509	0.0	0.0006261740763932373	John August	male
nm0042006	0.2349642035615518	0.0	0.0006261740763932373	Scott Aukerman	male
nm0044828	0.3336024366078309	0.002281470773475615	0.004383218534752661	David Babcock	male
nm0046017	0.2774607050206013	4.0208449257921756e-05	0.0018785222291797118	Vanessa Baden	female
nm0046263	0.20866711042761724	1.3051378554508814e-06	0.0012523481527864746	Demetrius Andre Bady	male
nm0046371	0.3093965898648879	0.000117318288214562	0.0018785222291797118	Neal Baer	male
nm0047076	0.2906051209922322	0.0	0.0006261740763932373	Steven Baigelman	male
nm0047489	0.2474751599292228	0.0	0.0006261740763932373	Sean Bailey	male
nm0047976	0.292814120526943	0.00027732008762831287	0.0037570444583594235	Jon Robin Baitz	male
nm0048169	0.21429413289960633	0.0	0.0006261740763932373	Nick Bakay	male
nm0048832	0.2279531606529425	0.0005366240516334945	0.002504696305572949	Phil Baker	male
nm0049569	0.3295392757458223	0.0012348892881814642	0.0068879148403256105	Rene Balcer	male
nm0049747	0.3022776392352452	0.000498971818485013	0.0012523481527864746	Steve Baldikoski	male
nm0050297	0.2791647474282205	0.0016152645662383487	0.0018785222291797118	David H. Balkan	male
nm0050332	0.3145348233747362	0.0013604610443854756	0.004383218534752661	Alan Ball	male
nm0053322	0.3377419474681428	0.006003389224653202	0.005009392611145898	Carol Barbee	female
nm0053426	0.24558986411648703	0.0	0.0006261740763932373	Larry Barber	male
nm0053449	0.24558986411648703	0.0	0.0006261740763932373	Paul Barber	male
nm0053816	0.2930784357974145	0.00022333167178166822	0.0031308703819661866	Christopher Barbour	male
nm0054077	0.29391225631243734	2.13014800219901e-05	0.0012523481527864746	Paris Barclay	male
nm0055756	0.24192990393059585	0.0	0.0006261740763932373	Rodney Barnes	male
nm0055771	0.21076669835161013	0.0	0.0006261740763932373	Sara Barnes	female
nm0056378	0.2934379135599238	0.0002530354297405614	0.0018785222291797118	Tracy Barone	female
nm0057321	0.21388071991530408	3.5038429448650694e-08	0.0012523481527864746	Bill Barretta	male
nm0058164	0.23110557490403438	0.000320254903235329	0.0018785222291797118	Simon Barry	male
nm0059735	0.3046479675614088	0.0006300618144898307	0.002504696305572949	Tony Basgallop	male
nm0060678	0.2657643172450083	0.0	0.0006261740763932373	Dean Batali	male
nm0061541	0.3248525996069323	0.0023418354554232217	0.006261740763932373	Wendy Battles	female
nm0063686	0.21732686285290814	3.7951735026275674e-05	0.0012523481527864746	Amanda L. Beall	female
nm0063785	0.2336237247192455	0.0	0.0006261740763932373	Henry Bean	male
nm0063790	0.23870290140475253	1.0406865362085932e-05	0.0018785222291797118	Julie Bean	female
nm0064157	0.35416260859402393	0.005883688864163388	0.008766437069505322	Jay Beattie	male
nm0064174	0.22951854376530587	0.0018708652609342208	0.0037570444583594235	Richard Beattie	male
nm0064479	0.1340005601167401	7.007685889730138e-08	0.0012523481527864746	Simon Beaufoy	male
nm0064842	0.22610490710572786	0.0	0.0006261740763932373	Neena Beber	female
nm0065637	0.2643885415151956	3.5569147221243935e-05	0.0018785222291797118	Jon Beckerman	male
nm0065847	0.30622831542425977	0.0006963537802522884	0.0037570444583594235	Michael Frost Beckner	male
