nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles	gender_wd	first_name	gender_guessed	gender_combined	gender
nm0000093	Brad Pitt	1963	\N	actor,producer,soundtrack	tt2935510,tt0114746,tt0356910,tt1210166	male	Brad	male	male	male
nm0000116	James Cameron	1954	\N	writer,producer,director	tt0499549,tt0120338,tt0103064,tt0090605	male	James	male	male	male
nm0000155	Whoopi Goldberg	1955	\N	actress,producer,writer	tt0099653,tt0108147,tt0105417,tt0088939	female	Whoopi	unknown	female	female
nm0000175	Stephen King	1947	\N	writer,producer,actor	tt0083767,tt0120689,tt0091499,tt0111161	male	Stephen	male	male	male
nm0000225	Christian Slater	1969	\N	actor,producer,soundtrack	tt0102798,tt0108399,tt0124198,tt4158110	male	Christian	male	male	male
nm0000229	Steven Spielberg	1946	\N	producer,writer,director	tt0108052,tt0120815,tt0083866,tt0082971	male	Steven	male	male	male
nm0000237	John Travolta	1954	\N	actor,soundtrack,producer	tt0110912,tt0076666,tt0113161,tt0077631	male	John	male	male	male
nm0000255	Ben Affleck	1972	\N	producer,actor,writer	tt2267998,tt0840361,tt0119217,tt1024648	male	Ben	male	male	male
nm0000339	Roger Corman	1926	\N	producer,director,actor	tt0061189,tt0091419,tt0099612,tt0102926	male	Roger	male	male	male
nm0000341	Michael Crichton	1942	2008	writer,producer,director	tt0070909,tt0107290,tt0108757,tt0117998	male	Michael	male	male	male
nm0000519	David Mamet	1947	\N	writer,producer,director	tt0104348,tt0120202,tt0093223,tt0120885	male	David	male	male	male
nm0000536	Robert Duncan McNeill	1964	\N	actor,producer,director	tt0387054,tt0093507,tt0112178,tt0934814	male	Robert	male	male	male
nm0000600	Sam Raimi	1959	\N	producer,writer,director	tt0083907,tt0106308,tt0145487,tt0099365	male	Sam	mostly_male	male	male
nm0000636	William Shakespeare	1564	1616	writer,soundtrack,miscellaneous	tt5932378,tt3894536,tt5377528,tt8632012	-	William	male	male	male
nm0000740	Irwin Allen	1916	1991	writer,producer,director	tt0060036,tt0072308,tt0044009,tt0057798	male	Irwin	male	male	male
nm0000776	Michael Apted	1941	\N	director,producer,miscellaneous	tt0157583,tt0143145,tt1734493,tt0384766	male	Michael	male	male	male
nm0000916	Peter Berg	1964	\N	producer,actor,writer	tt0108724,tt0369339,tt1091191,tt0124198	male	Peter	male	male	male
nm0001005	Jane Campion	1954	\N	writer,director,producer	tt0107822,tt0098725,tt0810784,tt2103085	female	Jane	female	female	female
nm0001027	Shaun Cassidy	1958	\N	producer,writer,actor	tt0233491,tt0111880,tt0460651,tt0075513	male	Shaun	male	male	male
nm0001081	Cameron Crowe	1957	\N	writer,producer,director	tt0116695,tt0259711,tt0105415,tt0181875	male	Cameron	mostly_male	male	male
nm0001104	Frank Darabont	1959	\N	writer,producer,director	tt0111161,tt0120689,tt0884328,tt1520211	male	Frank	male	male	male
nm0001198	Debrah Farentino	1959	\N	actress,producer	tt0796264,tt0098789,tt0101516,tt0083397	female	Debrah	female	female	female
nm0001246	Dan Futterman	1967	\N	actor,producer,writer	tt0829459,tt0379725,tt0835434,tt0115685	male	Dan	male	male	male
nm0001299	Thomas Ian Griffith	1962	\N	producer,actor,writer	tt0295701,tt0097647,tt0120877,tt0104215	male	Thomas	male	male	male
nm0001438	Neil LaBute	1963	\N	writer,producer,director	tt0171580,tt0450345,tt5811556,tt0119361	male	Neil	male	male	male
nm0001465	Elmore Leonard	1925	2013	writer,producer,miscellaneous	tt0119396,tt1489428,tt0113161,tt0120780	male	Elmore	male	male	male
