parentTconst	country
tt4228802	Australia
tt11120674	Mexico
tt2151220	USA
tt1311112	Japan
tt2390334	USA
tt4473482	Sweden
tt3551796	USA
tt7062944	Taiwan
tt3331564	France
tt7604126	Canada
tt1138700	India
tt6369468	Turkey
tt3764724	Russia
tt10551296	
tt2401256	USA
tt1468284	Japan|USA
tt2214573	Australia
tt10340638	India
tt8000970	UK
tt8444290	Russia|Ukraine
tt2523062	Colombia
tt0437044	Colombia
tt5621918	South Korea
tt6866266	USA
tt0431513	Japan
tt0907694	Germany|Austria
tt2570866	India
tt8502324	India
tt0434694	Japan
tt6106704	USA
tt7963758	India
tt1865801	USA
tt5368452	India
tt1239443	USA
tt1804497	UK
tt2707408	USA|Colombia|Mexico
tt4623604	Japan
tt9420566	Iceland
tt0839847	USA
tt1745240	Japan
tt8157174	USA
tt1797002	Italy|France
tt1524415	Australia
tt1984743	Colombia
tt2295809	USA|UK
tt2071140	Romania
tt0310429	Mexico
tt5684214	France
tt6132210	Mexico
tt0424600	USA
tt1100911	USA
tt9642982	UK|USA
tt0758789	UK|USA
tt7134908	Spain
tt10546966	Norway
tt2198680	Colombia
tt3431202	USA
tt6946370	Japan
tt6097200	Pakistan
tt7841278	Netherlands|Belgium
tt0411005	Serbia and Montenegro
tt1768940	Japan
tt4035398	Norway
tt2006848	USA
tt1721191	UK
tt0372081	Philippines
tt3781380	UK|USA
tt5067456	USA
tt1647838	Sweden
tt5879454	Japan
tt3839822	USA
tt8747378	Germany
tt3955712	USA
tt2733252	UK
tt0883021	Japan
tt0192910	Spain
tt1057692	Netherlands
tt0490043	Germany
tt1095324	Australia
tt0338646	Finland
tt5293610	Japan
tt8476076	Netherlands
tt0961173	Japan
tt0231042	Spain
tt0299263	Italy
tt5671168	Japan
tt0448192	Sweden
tt0450940	Norway
tt4913672	Chile
tt0261476	Canada|USA
tt3182934	Canada
tt1370331	Iceland
tt5833846	Austria|Germany|Hungary
tt0865827	Japan
tt2446726	UK
tt5620076	USA
tt0488352	USA
tt4422836	USA
tt7060712	Germany
tt0075474	West Germany
tt6055020	Finland
tt2980696	USA
tt2805112	India
tt1685401	Japan
tt0481046	Japan
tt1223917	Germany|Austria
tt3415250	USA
tt0484171	Italy
tt2657258	USA
tt1365546	Germany
tt1795083	Portugal
tt6025210	Japan
tt4465472	USA
tt3508050	UK
tt5630710	USA
tt5813728	Japan
tt1441219	USA
tt5031896	Russia
tt6942048	Turkey
tt0988815	Japan
tt4673488	Argentina
tt3877200	UK|France|Belgium|USA
tt9866602	Portugal
tt0411002	Japan
tt0297643	UK
tt1396406	Russia
tt3421612	Japan
tt3524556	Israel
tt8289758	USA
tt5497540	USA
tt0389570	Portugal
tt11256614	Turkey
tt7588054	USA
tt7310234	India
tt2288831	France
tt0243084	Taiwan
tt2078467	UK
tt1055674	Norway
tt0478946	Russia
tt6236626	Germany
tt9055242	Hungary
tt3667262	Turkey
tt4760028	USA
tt0338627	Netherlands
tt5116280	UK
tt2811802	Argentina
tt6941980	Turkey
tt0135727	Canada
tt4428122	USA
tt1743904	USA
tt0758745	USA
tt5715524	USA
tt1470198	Netherlands
tt3281796	USA
tt6036728	UK
tt1341970	India
tt5447862	Ireland
tt0451574	Argentina
tt0118363	UK
tt6538034	UK
tt7725422	USA
tt0433710	Japan
tt10078462	Serbia
tt7986650	Portugal
tt0985065	Mexico
tt1703874	USA
tt1159598	Brazil
tt1274480	USA
tt10410442	France
tt0401033	Greece
tt4057844	Canada
tt3011234	UK
tt0310412	Sweden|Germany|Denmark|Norway|Finland
tt0307774	Argentina
tt2847124	Japan
tt3848126	UK
tt5764394	Japan
tt1708951	UK
tt4286064	UK|Canada
tt3893044	UK|Poland
tt5487318	Japan
tt1024701	Canada
tt4209256	USA
tt8400320	Canada
tt4092640	Japan
tt4998350	USA
tt5021776	Finland
tt2131851	UK
tt10162920	India
tt0218783	Canada
tt6156584	USA
tt5291200	Turkey
tt2759698	Japan
tt0469239	Canada
tt0279600	USA|Canada
tt0928173	USA
tt2558242	Japan
tt0358883	UK
tt1262810	Argentina
tt9200376	Germany
tt1951552	Brazil
tt0358336	UK
tt3567788	Japan
tt7258180	India
tt0421361	Turkey
tt0941993	UK
tt3211198	South Korea
tt6301288	Turkey
tt0808013	Canada
tt2009776	UK|Germany|Spain|Canada|USA
tt1173666	USA
tt0433493	Denmark|Sweden|Germany|Norway|Finland
tt1727566	Chile
tt0115275	USA
tt0118406	Australia
tt1843678	UK
tt2505072	USA
tt1688606	UK
tt1531804	UK
tt0377186	UK
tt7210448	USA
tt0320022	USA
tt2729716	USA
tt0319930	USA
tt11800404	India
tt1151649	Germany|Austria
tt11324616	Australia
tt0274466	Netherlands
tt2341700	Egypt
tt7712244	USA
tt0448282	Turkey
tt10054118	USA
tt4075386	UK|France
tt1664168	Netherlands
tt3028358	Taiwan
tt6861390	Japan
tt1021038	Brazil
tt6436506	Armenia
tt4689402	Canada|USA
tt1073204	Spain
tt1064899	USA|Mexico|Spain|Malta
tt2220768	UK
tt4950764	Japan
tt1532448	Denmark
tt8011886	India
tt1456793	Japan
tt2871832	Canada
tt1518125	Finland
tt3341548	Italy
tt0478838	Japan
tt7343772	Estonia
tt1600194	USA
tt8080122	USA
tt1166893	UK
tt0386907	Canada|USA
tt6340304	Mexico
tt1361110	UK
tt8319428	USA
tt8649378	Ireland
tt1583930	Argentina
tt1163573	Germany
tt1386958	New Zealand
tt7631146	UK
tt1952642	France
tt6613064	Russia
tt0475192	Japan
tt3495652	UK
tt0312172	USA
tt3233534	USA
tt0463404	Argentina
tt0927944	Germany
tt1475553	Belgium
tt0907702	Sweden|Germany|Denmark|Norway|Finland
tt0356246	Italy
tt3775200	Japan
tt3156330	Australia
tt0185906	USA|UK
tt1067118	Japan
tt5015548	UK
tt0205700	USA
tt0377209	Finland
tt3242776	Italy
tt2191327	India
tt11663742	Sweden
tt1954262	USA
tt3602666	Argentina
tt7407512	Canada
tt0491807	UK
tt0486783	France
tt2431438	USA
tt11454182	USA
tt1140939	UK
tt3734918	Japan
tt5078754	Slovenia
tt11400108	Iran
tt9100878	Sweden|Poland|Denmark|Norway|Iceland|Finland
tt1772721	Japan
tt0863104	Turkey
tt8991224	India
tt8697870	USA
tt9243824	Germany
tt0200276	USA
tt4373882	Ireland
tt2293988	Japan
tt1582456	USA
tt5177586	Japan
tt9663612	Poland
tt0452213	Canada|France
tt0808358	Canada
tt2861610	UK
tt0115320	USA
tt5620962	USA
tt9407764	Australia
tt5245236	Japan
tt1943898	India
tt12024528	Poland
tt10329042	USA
tt6548416	Portugal
tt1086431	Argentina
tt0259140	Japan
tt9900092	USA
tt9121634	Spain
tt0409570	USA
tt0320038	USA
tt1564091	UK
tt5191128	UK
tt1771886	Finland
tt3514324	USA
tt0883913	Japan
tt0899034	UK
tt0805663	USA
tt2722738	Lebanon
tt1170962	Finland
tt8099412	Peru
tt0367345	USA
tt11734980	China|Taiwan
tt4555916	Chile
tt0156442	Canada
tt0285395	USA
tt11367550	Israel
tt1598754	USA
tt3552812	UK
tt1129029	Australia
tt0303418	Mexico
