tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres	genre1	genre2	genre3	isDrama	hasWriter	hasProducer	parentTconst	seasonNumber	episodeNumber	isinTitles	isinUSA	writers	writer1	writer2	writer3	writer4	writer5	writer6	writer7	writer8	writer9
tt0200656	tvEpisode	Geppetto	Geppetto	0	2000	\N	89	Adventure,Drama,Family	Adventure	Drama	Family	1	True	True	tt0132666	3	12	True	True	,nm0172830,nm0827670	nm0172830	nm0827670							
tt0200809	tvEpisode	Life-Size	Life-Size	0	2000	\N	89	Adventure,Drama,Family	Adventure	Drama	Family	1	True	True	tt0132666	3	8	True	True	,nm2381451	nm2381451								
tt0215111	tvEpisode	The Railway Children	The Railway Children	0	2000	\N	108	Drama,Romance	Drama	Romance		1	True	True	tt0066684	30	5	True	True	,nm0638586	nm0638586								
tt0217557	tvEpisode	Pilot	Pilot	0	2000	\N	120	Action,Crime,Drama	Action	Crime	Drama	1	True	True	tt0250157	1	0	True	True	,nm0375285	nm0375285								
tt0232002	tvEpisode	The Loretta Claiborne Story	The Loretta Claiborne Story	0	2000	\N	100	Adventure,Drama,Family	Adventure	Drama	Family	1	True	True	tt0132666	3	7	True	True	,nm0571113	nm0571113								
tt0233274	tvEpisode	Child Star: The Shirley Temple Story	Child Star: The Shirley Temple Story	0	2001	\N	95	Adventure,Drama,Family	Adventure	Drama	Family	1	True	True	tt0132666	4	13	True	True	,nm0927618	nm0927618								
tt0246786	tvEpisode	The Miracle Worker	The Miracle Worker	0	2000	\N	95	Adventure,Drama,Family	Adventure	Drama	Family	1	True	True	tt0132666	4	4	True	True	,nm0581224	nm0581224								
tt0290529	tvEpisode	Christmas Party	Christmas Party	0	2001	\N	\N	Action,Drama,Mystery	Action	Drama	Mystery	1	True	True	tt0283205	1	9	True	True	,nm0236494	nm0236494								
tt0290569	tvEpisode	Disguise for Murder	Disguise for Murder	0	2001	\N	\N	Action,Drama,Mystery	Action	Drama	Mystery	1	True	True	tt0283205	1	7	True	True	,nm0236494	nm0236494								
tt0306666	tvEpisode	Columbo Likes the Nightlife	Columbo Likes the Nightlife	0	2003	\N	88	Crime,Drama,Mystery	Crime	Drama	Mystery	1	True	True	tt1466074	13	5	True	True	,nm0506087,nm1297877,nm0512894	nm0506087	nm1297877	nm0512894						
