writer	producer	tconst	parentTconst	seasonNumber	episodeNumber
nm0172830	nm0951642	tt0200656	tt0132666	3	12
nm0827670	nm0951642	tt0200656	tt0132666	3	12
nm2381451	nm0128325	tt0200809	tt0132666	3	8
nm0638586	nm0255782	tt0215111	tt0066684	30	5
nm0375285	nm0546161	tt0217557	tt0250157	1	0
nm0571113	nm0079542	tt0232002	tt0132666	3	7
nm0927618	nm0665494	tt0233274	tt0132666	4	13
nm0581224	nm0079542	tt0246786	tt0132666	4	4
nm0236494	nm0613774	tt0290529	tt0283205	1	9
nm0236494	nm0613774	tt0290569	tt0283205	1	7
nm0506087	nm0926151	tt0306666	tt1466074	13	5
nm1297877	nm0926151	tt0306666	tt1466074	13	5
nm0512894	nm0926151	tt0306666	tt1466074	13	5
nm0106563	nm0058454	tt0308593	tt0312172	1	1
nm0128874	nm0313394	tt0324030	tt0132666	44	21
nm0290900	nm0004475	tt0329200	tt0132666	5	14
nm0371235	nm0004475	tt0329200	tt0132666	5	14
nm0131969	nm0410504	tt0332663	tt0320038	1	1
nm0131969	nm0569461	tt0332663	tt0320038	1	1
nm0860513	nm0410504	tt0332663	tt0320038	1	1
nm0860513	nm0569461	tt0332663	tt0320038	1	1
nm1411800	nm0754978	tt0346932	tt0132666	44	26
nm1411800	nm0011851	tt0346932	tt0132666	44	26
nm0115114	nm0754978	tt0346932	tt0132666	44	26
nm0115114	nm0011851	tt0346932	tt0132666	44	26
nm0471352	nm0321782	tt0353107	tt0284718	2	20
nm0511541	nm0321782	tt0353107	tt0284718	2	20
nm0006809	nm0906943	tt0364423	tt0400037	1	1
nm0006809	nm0184586	tt0364423	tt0400037	1	1
nm0006809	nm0746362	tt0364423	tt0400037	1	1
nm0006809	nm0833403	tt0364423	tt0400037	1	1
nm0041469	nm0326177	tt0365458	tt0380124	1	1
nm0523299	nm1106288	tt0382747	tt0409570	1	1
nm0523299	nm0851395	tt0382747	tt0409570	1	1
nm0645640	nm0901880	tt0393998	tt0221728	1	22
nm0645640	nm3152781	tt0393998	tt0221728	1	22
nm0275368	nm0901880	tt0393998	tt0221728	1	22
nm0275368	nm3152781	tt0393998	tt0221728	1	22
nm0143320	nm0100326	tt0394123	tt0235911	1	18
nm0190780	nm0100326	tt0394123	tt0235911	1	18
nm0438446	nm0100326	tt0394123	tt0235911	1	18
nm0458312	nm0100326	tt0394123	tt0235911	1	18
nm0236494	nm0725147	tt0394812	tt0283205	2	11
nm0759022	nm0725147	tt0394813	tt0283205	2	15
nm0236494	nm0725147	tt0394815	tt0283205	2	4
nm0436757	nm0725147	tt0394817	tt0283205	2	16
nm0325251	nm0725147	tt0394818	tt0283205	2	5
nm0704983	nm0725147	tt0394818	tt0283205	2	5
nm0236494	nm0725147	tt0394824	tt0283205	2	10
nm0008036	nm0081960	tt0404509	tt0383153	1	1
nm0375285	nm0081960	tt0404509	tt0383153	1	1
nm0004810	nm0109502	tt0408347	tt0106179	9	19
nm0011925	nm1006153	tt0420455	tt0252019	3	9
nm0000155	nm1006153	tt0420455	tt0252019	3	9
nm0161410	nm0713852	tt0441885	tt1734537	1	2
nm0362010	nm0713852	tt0442685	tt1734537	1	4
nm0161410	nm0713852	tt0491050	tt1734537	2	4
nm0395531	nm0081960	tt0496240	tt0805669	1	1
nm0388130	nm1321998	tt0498382	tt0066684	37	4
nm0388130	nm0364195	tt0498382	tt0066684	37	4
nm0707517	nm0704621	tt0500285	tt0247135	1	4
nm0823015	nm0704621	tt0500285	tt0247135	1	4
nm0684374	nm0704621	tt0500285	tt0247135	1	4
nm0707517	nm0704621	tt0500288	tt0247135	1	5
nm0823015	nm0704621	tt0500288	tt0247135	1	5
nm1157808	nm0704621	tt0500288	tt0247135	1	5
nm0707517	nm0704621	tt0500290	tt0247135	1	7
nm0823015	nm0704621	tt0500290	tt0247135	1	7
nm0684374	nm0704621	tt0500290	tt0247135	1	7
nm0707517	nm0704621	tt0500292	tt0247135	1	1
nm0823015	nm0704621	tt0500292	tt0247135	1	1
nm0707517	nm0704621	tt0500293	tt0247135	1	2
nm0823015	nm0704621	tt0500293	tt0247135	1	2
nm0823015	nm0704621	tt0500296	tt0247135	1	11
nm0707517	nm0704621	tt0500296	tt0247135	1	11
nm0204657	nm0130814	tt0500857	tt0373474	3	9
nm0491462	nm0130814	tt0500857	tt0373474	3	9
nm0204657	nm0130814	tt0500860	tt0373474	3	2
nm0491462	nm0130814	tt0500860	tt0373474	3	2
nm0204657	nm0130814	tt0500862	tt0373474	2	8
nm0491462	nm0130814	tt0500862	tt0373474	2	8
nm0312663	nm0130814	tt0500862	tt0373474	2	8
nm0204657	nm0130814	tt0500863	tt0373474	3	16
nm0491462	nm0130814	tt0500863	tt0373474	3	16
nm0390635	nm0130814	tt0500863	tt0373474	3	16
nm0204657	nm0130814	tt0500864	tt0373474	2	14
nm0491462	nm0130814	tt0500864	tt0373474	2	14
nm0459822	nm0130814	tt0500864	tt0373474	2	14
nm0204657	nm0130814	tt0500876	tt0373474	2	3
nm0491462	nm0130814	tt0500876	tt0373474	2	3
nm1061887	nm0130814	tt0500876	tt0373474	2	3
nm0204657	nm0702929	tt0500883	tt0373474	1	6
nm0204657	nm0130814	tt0500883	tt0373474	1	6
nm0491462	nm0702929	tt0500883	tt0373474	1	6
nm0491462	nm0130814	tt0500883	tt0373474	1	6
nm0204657	nm0130814	tt0500885	tt0373474	2	2
nm0491462	nm0130814	tt0500885	tt0373474	2	2
nm0459822	nm0130814	tt0500885	tt0373474	2	2
nm0204657	nm0130814	tt0500888	tt0373474	2	16
nm0491462	nm0130814	tt0500888	tt0373474	2	16
nm1061887	nm0130814	tt0500888	tt0373474	2	16
nm0204657	nm0130814	tt0500889	tt0373474	1	1
nm0491462	nm0130814	tt0500889	tt0373474	1	1
nm0204657	nm0130814	tt0500893	tt0373474	2	1
nm0491462	nm0130814	tt0500893	tt0373474	2	1
nm0204657	nm0130814	tt0500894	tt0373474	3	12
nm0491462	nm0130814	tt0500894	tt0373474	3	12
nm0149661	nm0130814	tt0500894	tt0373474	3	12
nm0204657	nm0130814	tt0500901	tt0373474	3	10
nm0491462	nm0130814	tt0500901	tt0373474	3	10
nm0390635	nm0130814	tt0500901	tt0373474	3	10
nm0204657	nm0130814	tt0500902	tt0373474	2	12
nm0491462	nm0130814	tt0500902	tt0373474	2	12
nm0204657	nm0130814	tt0500903	tt0373474	2	13
nm0491462	nm0130814	tt0500903	tt0373474	2	13
nm0204657	nm0130814	tt0500905	tt0373474	3	3
nm0491462	nm0130814	tt0500905	tt0373474	3	3
nm0459822	nm0130814	tt0500905	tt0373474	3	3
nm0204657	nm0130814	tt0500908	tt0373474	1	13
nm0491462	nm0130814	tt0500908	tt0373474	1	13
nm0702929	nm0130814	tt0500908	tt0373474	1	13
nm0952502	nm0250621	tt0500961	tt0365969	1	8
nm1461835	nm0250621	tt0500961	tt0365969	1	8
nm0719982	nm0250621	tt0500961	tt0365969	1	8
nm0952502	nm0250621	tt0500962	tt0365969	1	3
nm1461835	nm0250621	tt0500962	tt0365969	1	3
nm0719982	nm0250621	tt0500962	tt0365969	1	3
nm0952502	nm0250621	tt0500963	tt0365969	1	13
nm1461835	nm0250621	tt0500963	tt0365969	1	13
nm0952502	nm0250621	tt0500967	tt0365969	1	11
nm1461835	nm0250621	tt0500967	tt0365969	1	11
nm0519997	nm0250621	tt0500967	tt0365969	1	11
nm1241675	nm0250621	tt0500967	tt0365969	1	11
nm0952502	nm0250621	tt0500969	tt0365969	1	10
nm1461835	nm0250621	tt0500969	tt0365969	1	10
nm0952502	nm0250621	tt0500970	tt0365969	1	15
nm1461835	nm0250621	tt0500970	tt0365969	1	15
nm0085242	nm0741689	tt0500974	tt0260596	2	9
nm1147463	nm0741689	tt0500980	tt0260596	2	11
nm0777457	nm0741689	tt0500982	tt0260596	2	12
nm0943382	nm0741689	tt0500982	tt0260596	2	12
