writer	producer	coop
nm0000116	nm0761093	1
nm0000116	nm0765956	2
nm0000116	nm0850888	1
nm0000155	nm0210686	2
nm0000155	nm0248336	1
nm0000155	nm0283509	1
nm0000155	nm0325180	1
nm0000155	nm0333335	1
nm0000155	nm0575151	1
nm0000155	nm0730282	1
nm0000155	nm1006153	2
nm0000175	nm0002638	1
nm0000175	nm0110786	1
nm0000255	nm0789443	1
nm0000339	nm0595038	1
nm0000341	nm0011260	1
nm0000341	nm0122911	4
nm0000341	nm0372877	2
nm0000341	nm0438279	3
nm0000341	nm0592808	1
nm0000341	nm0817831	10
nm0000341	nm0861704	6
nm0000519	nm0694253	1
nm0000600	nm0807685	1
nm0000600	nm1034884	1
nm0000636	nm0005549	1
nm0000636	nm0672062	1
nm0000636	nm0841330	1
nm0000636	nm1064668	1
nm0000636	nm2023843	1
nm0000636	nm2216583	1
nm0000636	nm2639152	1
nm0000636	nm2777236	1
nm0000636	nm3040892	1
nm0000636	nm3911822	1
nm0000636	nm4560026	1
nm0000636	nm5105825	1
nm0000636	nm5873914	1
nm0000636	nm5873915	1
nm0000636	nm6071368	1
nm0000636	nm8962249	1
nm0000636	nm8962250	1
nm0000740	nm2566002	1
nm0000740	nm2659146	1
nm0000916	nm0076987	5
nm0000916	nm0915400	1
nm0000916	nm1531276	1
nm0000916	nm3059930	2
nm0001005	nm0132788	2
nm0001005	nm0789248	1
nm0001027	nm0213928	1
nm0001027	nm0493778	1
nm0001027	nm0555684	1
nm0001027	nm0800358	3
nm0001027	nm1443484	1
nm0001081	nm0193410	1
nm0001081	nm0771863	1
nm0001104	nm0076353	1
nm0001104	nm0197722	2
nm0001104	nm1021172	1
nm0001246	nm0048739	1
nm0001246	nm1262918	1
nm0001299	nm0121997	1
nm0001438	nm0152113	2
nm0001438	nm0425753	1
nm0001438	nm0748934	2
nm0001438	nm1721362	1
nm0001438	nm2049577	1
nm0001438	nm2495517	1
nm0001438	nm3606994	1
nm0001438	nm5532522	1
nm0001465	nm0475960	1
nm0001486	nm0741689	1
nm0001493	nm0040957	1
nm0001493	nm0357371	1
nm0001493	nm0679915	1
nm0001741	nm0257159	1
nm0001741	nm0887184	1
nm0001873	nm0272605	1
nm0001880	nm0347958	1
nm0001880	nm0678050	1
nm0001880	nm0796848	1
nm0001885	nm0002638	1
nm0001921	nm0162722	1
nm0001921	nm0929829	1
nm0002041	nm0257159	1
nm0002041	nm0887184	1
nm0002376	nm1308615	1
nm0002417	nm0003816	1
nm0002417	nm1070915	1
nm0002417	nm7990826	1
nm0002526	nm0330430	1
nm0002704	nm0223209	2
nm0002704	nm2565870	1
nm0002718	nm0510956	1
nm0002718	nm1069530	1
nm0002718	nm3529149	1
nm0002718	nm3933675	1
nm0002749	nm0416341	1
nm0002749	nm0753251	1
nm0002787	nm0040957	1
nm0002932	nm0008823	1
nm0002932	nm0012182	1
nm0002932	nm0066548	1
nm0002932	nm0168655	2
nm0002932	nm0341028	1
nm0002932	nm0389972	2
nm0002932	nm0592535	1
nm0002932	nm0632871	1
nm0002932	nm0795288	1
nm0002932	nm0840239	1
nm0002932	nm0886628	1
nm0002932	nm0925441	3
nm0002932	nm1027122	1
nm0002932	nm3319782	1
nm0002973	nm0595038	1
nm0003021	nm0119946	1
nm0003021	nm0133150	1
nm0003160	nm0004475	1
nm0003160	nm0639681	1
nm0003160	nm0999931	1
nm0003160	nm4020371	1
nm0003298	nm0002472	1
nm0003298	nm0475970	1
nm0003298	nm0556163	1
nm0003298	nm0654024	1
nm0003535	nm0040957	3
nm0003535	nm0522160	1
nm0003535	nm0704621	1
nm0003535	nm0857714	1
nm0003535	nm0940016	1
nm0003588	nm0589404	1
nm0003588	nm0706228	1
nm0003662	nm0279092	1
nm0003662	nm0381727	1
nm0003662	nm0475960	2
nm0003662	nm0666543	1
nm0003662	nm0765956	2
nm0003662	nm0906943	1
nm0003662	nm3251129	1
