item,itemLabel
http://www.wikidata.org/entity/Q16455,John Rhys-Davies
http://www.wikidata.org/entity/Q17887,Jack Clayton
http://www.wikidata.org/entity/Q19190,Rupert Grint
http://www.wikidata.org/entity/Q19810,Victoria Beckham
http://www.wikidata.org/entity/Q19845,Geri Halliwell
http://www.wikidata.org/entity/Q20119,Jean Shrimpton
http://www.wikidata.org/entity/Q23517,Ricky Gervais
http://www.wikidata.org/entity/Q23760,Rowan Atkinson
http://www.wikidata.org/entity/Q23811,Karl Pilkington
http://www.wikidata.org/entity/Q23814,Stephen Merchant
http://www.wikidata.org/entity/Q24632,John Barrowman
http://www.wikidata.org/entity/Q24962,Graham Chapman
http://www.wikidata.org/entity/Q25014,John Cleese
http://www.wikidata.org/entity/Q25078,Terry Gilliam
http://www.wikidata.org/entity/Q25191,Christopher Nolan
http://www.wikidata.org/entity/Q26062,Robert Bolt
http://www.wikidata.org/entity/Q26118,Jack Hawkins
http://www.wikidata.org/entity/Q11998,Kylie Minogue
http://www.wikidata.org/entity/Q15873,Brian May
http://www.wikidata.org/entity/Q16296,Patrick Stewart
http://www.wikidata.org/entity/Q882,Charlie Chaplin
http://www.wikidata.org/entity/Q1203,John Lennon
http://www.wikidata.org/entity/Q1744,Madonna
http://www.wikidata.org/entity/Q2599,Paul McCartney
http://www.wikidata.org/entity/Q2632,Ringo Starr
http://www.wikidata.org/entity/Q2643,George Harrison
http://www.wikidata.org/entity/Q3671,Justin Chadwick
http://www.wikidata.org/entity/Q4547,Daniel Craig
http://www.wikidata.org/entity/Q4573,Sean Connery
http://www.wikidata.org/entity/Q5383,David Bowie
http://www.wikidata.org/entity/Q6091,Jessica Ennis
http://www.wikidata.org/entity/Q7516,Jonny Lee Miller
http://www.wikidata.org/entity/Q10520,David Beckham
http://www.wikidata.org/entity/Q172653,Maggie Smith
http://www.wikidata.org/entity/Q173158,Ben Kingsley
http://www.wikidata.org/entity/Q40479,David Mitchell
http://www.wikidata.org/entity/Q41042,Harold Pinter
http://www.wikidata.org/entity/Q42204,Hugo Weaving
http://www.wikidata.org/entity/Q42581,Keira Knightley
http://www.wikidata.org/entity/Q42786,Audrey Hepburn
http://www.wikidata.org/entity/Q44461,Richard Dawkins
http://www.wikidata.org/entity/Q44467,Orlando Bloom
http://www.wikidata.org/entity/Q44648,Eric Burdon
http://www.wikidata.org/entity/Q44657,Uri Geller
http://www.wikidata.org/entity/Q45456,Ainsley Howard
http://www.wikidata.org/entity/Q45647,Eddie Marsan
http://www.wikidata.org/entity/Q45772,Christian Bale
http://www.wikidata.org/entity/Q45909,John Cale
http://www.wikidata.org/entity/Q45923,Aaron Taylor-Johnson
http://www.wikidata.org/entity/Q47447,Ed Sheeran
http://www.wikidata.org/entity/Q47466,John Nettles
http://www.wikidata.org/entity/Q48280,Marianne Faithfull
http://www.wikidata.org/entity/Q28310,Scott Adkins
http://www.wikidata.org/entity/Q28493,Ralph Fiennes
http://www.wikidata.org/entity/Q28941,Frank Lloyd
http://www.wikidata.org/entity/Q29055,Sacha Baron Cohen
http://www.wikidata.org/entity/Q29092,Desmond Llewelyn
http://www.wikidata.org/entity/Q31164,Ellie Goulding
http://www.wikidata.org/entity/Q32595,Gabrielle Aplin
http://www.wikidata.org/entity/Q32795,Alan Carr
http://www.wikidata.org/entity/Q33072,Graham Bonney
http://www.wikidata.org/entity/Q35011,Frances Fisher
http://www.wikidata.org/entity/Q35480,Ashley Long
http://www.wikidata.org/entity/Q35485,Alicia Rhodes
http://www.wikidata.org/entity/Q36185,Bill Tarmey
http://www.wikidata.org/entity/Q36767,Robert Pattinson
http://www.wikidata.org/entity/Q40002,Lucy Griffiths
http://www.wikidata.org/entity/Q40103,Toby Stephens
http://www.wikidata.org/entity/Q40228,Claire Forlani
http://www.wikidata.org/entity/Q186329,Mika
http://www.wikidata.org/entity/Q187558,Lauren Socha
http://www.wikidata.org/entity/Q189132,Sophie Monk
http://www.wikidata.org/entity/Q189453,Zena Marshall
http://www.wikidata.org/entity/Q189599,Keith Richards
http://www.wikidata.org/entity/Q190076,Joe Cocker
http://www.wikidata.org/entity/Q191104,Sean Bean
http://www.wikidata.org/entity/Q192912,Stephen Fry
http://www.wikidata.org/entity/Q193458,Sienna Miller
http://www.wikidata.org/entity/Q193517,Emily Blunt
http://www.wikidata.org/entity/Q194973,Rose Keegan
http://www.wikidata.org/entity/Q195452,Selina Cadell
http://www.wikidata.org/entity/Q195788,Yasmine Hamdan
http://www.wikidata.org/entity/Q196080,Nicholas Woodeson
http://www.wikidata.org/entity/Q198414,Jessica Brown Findlay
http://www.wikidata.org/entity/Q199067,Zienia Merton
http://www.wikidata.org/entity/Q199369,Naomi Campbell
http://www.wikidata.org/entity/Q200228,Benny Hill
http://www.wikidata.org/entity/Q200534,Tilda Swinton
http://www.wikidata.org/entity/Q200721,Philip Glenister
http://www.wikidata.org/entity/Q201512,Steve Nicolson
http://www.wikidata.org/entity/Q202409,Peter Hammond
http://www.wikidata.org/entity/Q202765,Kate Winslet
http://www.wikidata.org/entity/Q203219,Boris Karloff
http://www.wikidata.org/entity/Q203269,Wade Barrett
http://www.wikidata.org/entity/Q203498,Simon Grover
http://www.wikidata.org/entity/Q203804,Tim Roth
http://www.wikidata.org/entity/Q204019,M.I.A.
http://www.wikidata.org/entity/Q204426,Jane Asher
http://www.wikidata.org/entity/Q205278,Dominic Purcell
http://www.wikidata.org/entity/Q206856,Angela Lansbury
http://www.wikidata.org/entity/Q206922,Andy Serkis
http://www.wikidata.org/entity/Q207177,Pixie Lott
http://www.wikidata.org/entity/Q207179,Bill Nighy
http://www.wikidata.org/entity/Q207307,Robert Carlyle
http://www.wikidata.org/entity/Q207458,Mischa Barton
http://www.wikidata.org/entity/Q208374,Naveen Andrews
http://www.wikidata.org/entity/Q208590,Kristin Scott Thomas
http://www.wikidata.org/entity/Q208685,Rupert Everett
http://www.wikidata.org/entity/Q208746,Nathaniel Parker
http://www.wikidata.org/entity/Q209107,Clare Holman
http://www.wikidata.org/entity/Q209175,Kim Cattrall
http://www.wikidata.org/entity/Q209186,James Mason
http://www.wikidata.org/entity/Q209641,John le Carré
http://www.wikidata.org/entity/Q210059,Neil Gaiman
http://www.wikidata.org/entity/Q210741,Eric Idle
http://www.wikidata.org/entity/Q211213,Melanie Blatt
http://www.wikidata.org/entity/Q211283,Bob Hoskins
http://www.wikidata.org/entity/Q211322,Tom Wilkinson
http://www.wikidata.org/entity/Q211696,Keith Moon
http://www.wikidata.org/entity/Q267772,Garry Chalk
http://www.wikidata.org/entity/Q267976,Lysette Anthony
http://www.wikidata.org/entity/Q268244,Charlotte Lewis
http://www.wikidata.org/entity/Q268271,Vanessa Angel
http://www.wikidata.org/entity/Q268436,Angelica Mandy
http://www.wikidata.org/entity/Q268840,Sally Potter
http://www.wikidata.org/entity/Q268940,Lou Doillon
http://www.wikidata.org/entity/Q269153,Kay Kendall
http://www.wikidata.org/entity/Q269202,Margaret Lockwood
http://www.wikidata.org/entity/Q269309,Talulah Riley
http://www.wikidata.org/entity/Q269713,Angela Scoular
http://www.wikidata.org/entity/Q269835,Eileen Atkins
http://www.wikidata.org/entity/Q269872,Virginia McKenna
