item,itemLabel
http://www.wikidata.org/entity/Q40470,Isaiah Mustafa
http://www.wikidata.org/entity/Q40473,Andrea Bowen
http://www.wikidata.org/entity/Q40475,Joan Crawford
http://www.wikidata.org/entity/Q40504,Jim Carrey
http://www.wikidata.org/entity/Q40523,Julia Roberts
http://www.wikidata.org/entity/Q40531,John Wayne
http://www.wikidata.org/entity/Q40638,Blake Jenner
http://www.wikidata.org/entity/Q40791,Sandra Bullock
http://www.wikidata.org/entity/Q40912,Frank Sinatra
http://www.wikidata.org/entity/Q41142,Jane Fonda
http://www.wikidata.org/entity/Q41173,Demi Lovato
http://www.wikidata.org/entity/Q41333,Jacqueline Wong
http://www.wikidata.org/entity/Q41340,Katherine LaNasa
http://www.wikidata.org/entity/Q41342,Mary Tyler Moore
http://www.wikidata.org/entity/Q41351,Jodie Foster
http://www.wikidata.org/entity/Q41396,Josh Brolin
http://www.wikidata.org/entity/Q41449,Michael Shannon
http://www.wikidata.org/entity/Q41528,Arlene Harris
http://www.wikidata.org/entity/Q41594,Christina Aguilera
http://www.wikidata.org/entity/Q41871,Paul Newman
http://www.wikidata.org/entity/Q42493,Katy Perry
http://www.wikidata.org/entity/Q42598,Ted DiBiase junior
http://www.wikidata.org/entity/Q42775,Johnny Cash
http://www.wikidata.org/entity/Q42869,Nicolas Cage
http://www.wikidata.org/entity/Q42930,Dustin Hoffman
http://www.wikidata.org/entity/Q43044,Demi Moore
http://www.wikidata.org/entity/Q43203,Clint Eastwood
http://www.wikidata.org/entity/Q43322,Jay Kogen
http://www.wikidata.org/entity/Q43432,Justin Timberlake
http://www.wikidata.org/entity/Q43950,Jacob Artist
http://www.wikidata.org/entity/Q44036,Tonya Pinkins
http://www.wikidata.org/entity/Q44063,Reese Witherspoon
http://www.wikidata.org/entity/Q44144,Chris Jericho
http://www.wikidata.org/entity/Q44158,Dave Bautista
http://www.wikidata.org/entity/Q44164,Edge
http://www.wikidata.org/entity/Q44176,Hulk Hogan
http://www.wikidata.org/entity/Q44221,Sean Penn
http://www.wikidata.org/entity/Q44273,James Ransone
http://www.wikidata.org/entity/Q44301,Jim Morrison
http://www.wikidata.org/entity/Q44313,Steve Austin
http://www.wikidata.org/entity/Q44354,Glenn Jacobs
http://www.wikidata.org/entity/Q44362,Theo Rossi
http://www.wikidata.org/entity/Q44378,Big Show
http://www.wikidata.org/entity/Q44379,The Miz
http://www.wikidata.org/entity/Q44380,Cameron Diaz
http://www.wikidata.org/entity/Q44414,Trey Parker
http://www.wikidata.org/entity/Q44437,John Cena
http://www.wikidata.org/entity/Q44442,Dan Castellaneta
http://www.wikidata.org/entity/Q44445,Eric Lutes
http://www.wikidata.org/entity/Q44449,Randy Orton
http://www.wikidata.org/entity/Q44450,Roger Aaron Brown
http://www.wikidata.org/entity/Q44469,Holly Gagnier
http://www.wikidata.org/entity/Q44473,O. J. Simpson
http://www.wikidata.org/entity/Q44482,Dalip Singh
http://www.wikidata.org/entity/Q303,Elvis Presley
http://www.wikidata.org/entity/Q392,Bob Dylan
http://www.wikidata.org/entity/Q400,Jenna Jameson
http://www.wikidata.org/entity/Q489,Bill Maher
http://www.wikidata.org/entity/Q633,Neil Young
http://www.wikidata.org/entity/Q814,Nicole Austin
http://www.wikidata.org/entity/Q873,Meryl Streep
http://www.wikidata.org/entity/Q1545,Cyndi Lauper
http://www.wikidata.org/entity/Q1744,Madonna
http://www.wikidata.org/entity/Q1779,Louis Armstrong
http://www.wikidata.org/entity/Q2071,David Lynch
http://www.wikidata.org/entity/Q2263,Tom Hanks
http://www.wikidata.org/entity/Q2597,Johanna Braddy
http://www.wikidata.org/entity/Q2673,Chuck Norris
http://www.wikidata.org/entity/Q2680,Bruce Willis
http://www.wikidata.org/entity/Q2685,Arnold Schwarzenegger
http://www.wikidata.org/entity/Q2709,Sasha Grey
http://www.wikidata.org/entity/Q2831,Michael Jackson
http://www.wikidata.org/entity/Q3324,Isaac Penington
http://www.wikidata.org/entity/Q3772,Quentin Tarantino
http://www.wikidata.org/entity/Q3924,Kevin Rudolf
http://www.wikidata.org/entity/Q3990,Jeffrey Garcia
http://www.wikidata.org/entity/Q4028,Paul Simon
http://www.wikidata.org/entity/Q4036,Richard Steven Horvitz
http://www.wikidata.org/entity/Q4038,Tony Barbieri
http://www.wikidata.org/entity/Q4039,Art Garfunkel
http://www.wikidata.org/entity/Q4042,Cee-Lo Green
http://www.wikidata.org/entity/Q4058,Kayla Ewell
http://www.wikidata.org/entity/Q4145,Patrice O’Neal
http://www.wikidata.org/entity/Q4227,James Coburn
http://www.wikidata.org/entity/Q4337,Rodger Bumpass
http://www.wikidata.org/entity/Q4349,Jimmy Bennett
http://www.wikidata.org/entity/Q4350,Melissa Fahn
http://www.wikidata.org/entity/Q4408,Doug Lawrence
http://www.wikidata.org/entity/Q4461,Troian Bellisario
http://www.wikidata.org/entity/Q4473,Jennette McCurdy
http://www.wikidata.org/entity/Q4488,Clancy Brown
http://www.wikidata.org/entity/Q4491,Anna Faris
http://www.wikidata.org/entity/Q4509,Chloë Grace Moretz
http://www.wikidata.org/entity/Q4518,Alison Lohman
