item,itemLabel
http://www.wikidata.org/entity/Q1744,Madonna
http://www.wikidata.org/entity/Q8312,Nicholas Meyer
http://www.wikidata.org/entity/Q8349,Weird Al Yankovic
http://www.wikidata.org/entity/Q11093,Valerie Solanas
http://www.wikidata.org/entity/Q14540,Tina Fey
http://www.wikidata.org/entity/Q16296,Patrick Stewart
http://www.wikidata.org/entity/Q23814,Stephen Merchant
http://www.wikidata.org/entity/Q31549,Brent Corrigan
http://www.wikidata.org/entity/Q32335,Nia Vardalos
http://www.wikidata.org/entity/Q32787,Miroslav Krobot
http://www.wikidata.org/entity/Q34677,Greg García
http://www.wikidata.org/entity/Q36233,Václav Havel
http://www.wikidata.org/entity/Q39829,Stephen King
http://www.wikidata.org/entity/Q42574,James Cameron
http://www.wikidata.org/entity/Q43633,Allan Schulman
http://www.wikidata.org/entity/Q43994,Matt Groening
http://www.wikidata.org/entity/Q44301,Jim Morrison
http://www.wikidata.org/entity/Q45606,Christian Stückl
http://www.wikidata.org/entity/Q47100,Ben Stiller
http://www.wikidata.org/entity/Q53011,Dario Argento
http://www.wikidata.org/entity/Q53680,Jeff Daniels
http://www.wikidata.org/entity/Q55170,Victor Sjöström
http://www.wikidata.org/entity/Q55208,Andrei Sergejewitsch Michalkow-Kontschalowski
http://www.wikidata.org/entity/Q55365,Cezary Pazura
http://www.wikidata.org/entity/Q55366,Bogusław Linda
http://www.wikidata.org/entity/Q55419,Klaus Kinski
http://www.wikidata.org/entity/Q55965,Brüder Lumière
http://www.wikidata.org/entity/Q56095,Ethan und Joel Coen
http://www.wikidata.org/entity/Q58088,Braňo Holiček
http://www.wikidata.org/entity/Q60119,Christoph Brüx
http://www.wikidata.org/entity/Q60745,Holger Meins
http://www.wikidata.org/entity/Q62316,Robert Sahakjanz
http://www.wikidata.org/entity/Q62479,Ernst Baier
http://www.wikidata.org/entity/Q65622,Heinz Tietjen
http://www.wikidata.org/entity/Q65768,Claus Spahn
http://www.wikidata.org/entity/Q67383,Matthias Freihof
http://www.wikidata.org/entity/Q67725,Harry Kupfer
http://www.wikidata.org/entity/Q72089,Niels Kurvin
http://www.wikidata.org/entity/Q72595,Alfred Junge
http://www.wikidata.org/entity/Q72792,Hal Roach
http://www.wikidata.org/entity/Q75009,Gottfried Kolditz
http://www.wikidata.org/entity/Q75310,Peter Konwitschny
http://www.wikidata.org/entity/Q75789,Cosima Wagner
http://www.wikidata.org/entity/Q76819,Christoph Waltz
http://www.wikidata.org/entity/Q77603,Roland Schimmelpfennig
http://www.wikidata.org/entity/Q77982,Marie Gutheil-Schoder
http://www.wikidata.org/entity/Q78288,Angelo Neumann
http://www.wikidata.org/entity/Q78505,Peter Lorre
http://www.wikidata.org/entity/Q78722,Kurt Diemberger
http://www.wikidata.org/entity/Q80510,Alla Borissowna Pugatschowa
http://www.wikidata.org/entity/Q85621,Andreas Hykade
http://www.wikidata.org/entity/Q89247,Josef Szeiler
http://www.wikidata.org/entity/Q89469,Rita Russek
http://www.wikidata.org/entity/Q89607,Johann Kresnik
http://www.wikidata.org/entity/Q90634,Volker Spengler
http://www.wikidata.org/entity/Q91132,Wilhelm Schürmann-Horster
http://www.wikidata.org/entity/Q91739,Horst von Möllendorff
http://www.wikidata.org/entity/Q92352,Herbert Wernicke
http://www.wikidata.org/entity/Q95003,Filip Bajon
http://www.wikidata.org/entity/Q98343,Willy Decker
http://www.wikidata.org/entity/Q98494,Lukas Hemleb
http://www.wikidata.org/entity/Q102404,Winfried Böhm
http://www.wikidata.org/entity/Q102564,Tanja Langer
http://www.wikidata.org/entity/Q105466,Bonnie Wright
