item,itemLabel
http://www.wikidata.org/entity/Q360,Julian Assange
http://www.wikidata.org/entity/Q400,Jenna Jameson
http://www.wikidata.org/entity/Q489,Bill Maher
http://www.wikidata.org/entity/Q873,Meryl Streep
http://www.wikidata.org/entity/Q882,Charlie Chaplin
http://www.wikidata.org/entity/Q1203,John Lennon
http://www.wikidata.org/entity/Q1744,Madonna
http://www.wikidata.org/entity/Q2001,Stanley Kubrick
http://www.wikidata.org/entity/Q2071,David Lynch
http://www.wikidata.org/entity/Q2263,Tom Hanks
http://www.wikidata.org/entity/Q2593,Matthew Vaughn
http://www.wikidata.org/entity/Q2599,Paul McCartney
http://www.wikidata.org/entity/Q2632,Ringo Starr
http://www.wikidata.org/entity/Q2643,George Harrison
http://www.wikidata.org/entity/Q2673,Chuck Norris
http://www.wikidata.org/entity/Q2680,Bruce Willis
http://www.wikidata.org/entity/Q2685,Arnold Schwarzenegger
http://www.wikidata.org/entity/Q2737,Louis de Funès
http://www.wikidata.org/entity/Q3772,Quentin Tarantino
http://www.wikidata.org/entity/Q4109,Chris Rock
http://www.wikidata.org/entity/Q4119,Adam Carolla
http://www.wikidata.org/entity/Q4440,Eric Bana
http://www.wikidata.org/entity/Q4465,Peter Jackson
http://www.wikidata.org/entity/Q4488,Clancy Brown
http://www.wikidata.org/entity/Q4491,Anna Faris
http://www.wikidata.org/entity/Q4538,Jonathan Winters
http://www.wikidata.org/entity/Q4573,Sean Connery
http://www.wikidata.org/entity/Q4616,Marilyn Monroe
http://www.wikidata.org/entity/Q4617,Corbin Bleu
http://www.wikidata.org/entity/Q4636,Barbra Streisand
http://www.wikidata.org/entity/Q4914,Jimmy Kimmel
http://www.wikidata.org/entity/Q4960,Jason Lee
http://www.wikidata.org/entity/Q5603,Andy Warhol
http://www.wikidata.org/entity/Q5608,Eminem
http://www.wikidata.org/entity/Q6060,50 Cent
http://www.wikidata.org/entity/Q6078,Dr. Dre
http://www.wikidata.org/entity/Q6096,Snoop Dogg
http://www.wikidata.org/entity/Q7374,Alfred Hitchcock
http://www.wikidata.org/entity/Q7516,Jonny Lee Miller
http://www.wikidata.org/entity/Q7542,Prince
http://www.wikidata.org/entity/Q7546,Ingmar Bergman
http://www.wikidata.org/entity/Q8006,Akira Kurosawa
http://www.wikidata.org/entity/Q8289,Jamie Selkirk
http://www.wikidata.org/entity/Q8296,Rupert Wyatt
http://www.wikidata.org/entity/Q8312,Nicholas Meyer
http://www.wikidata.org/entity/Q8704,Walt Disney
http://www.wikidata.org/entity/Q8873,Satyajit Ray
http://www.wikidata.org/entity/Q8877,Steven Spielberg
http://www.wikidata.org/entity/Q9535,Shah Rukh Khan
http://www.wikidata.org/entity/Q9543,Salman Khan
http://www.wikidata.org/entity/Q9557,Aamir Khan
http://www.wikidata.org/entity/Q9570,Amitabh Bachchan
http://www.wikidata.org/entity/Q10738,Dwayne Johnson
http://www.wikidata.org/entity/Q11319,David DeCoteau
http://www.wikidata.org/entity/Q11335,Joseph Zito
http://www.wikidata.org/entity/Q11930,Kevin Costner
http://www.wikidata.org/entity/Q11998,Kylie Minogue
http://www.wikidata.org/entity/Q13909,Angelina Jolie
http://www.wikidata.org/entity/Q14089,Lori McCreary
http://www.wikidata.org/entity/Q14321,Adel Ferdosipour
http://www.wikidata.org/entity/Q14537,Bill Hader
http://www.wikidata.org/entity/Q14540,Tina Fey
http://www.wikidata.org/entity/Q14542,Tracy Morgan
http://www.wikidata.org/entity/Q16345,Leonard Nimoy
http://www.wikidata.org/entity/Q16397,Bruce Lee
http://www.wikidata.org/entity/Q16473,Steve Martin
http://www.wikidata.org/entity/Q16766,Andy Lau
http://www.wikidata.org/entity/Q17887,Jack Clayton
http://www.wikidata.org/entity/Q18066,Eduard Nikolajewitsch Uspenski
http://www.wikidata.org/entity/Q18916,Gregory Smith
http://www.wikidata.org/entity/Q18938,Thomas Jane
http://www.wikidata.org/entity/Q18947,Laurie Holden
http://www.wikidata.org/entity/Q18971,Arthur P. Jacobs
http://www.wikidata.org/entity/Q19031,Zak Penn
http://www.wikidata.org/entity/Q19504,Fritz Lang
http://www.wikidata.org/entity/Q19526,Maya Angelou
http://www.wikidata.org/entity/Q19794,Josh Duhamel
http://www.wikidata.org/entity/Q19837,Steve Jobs
http://www.wikidata.org/entity/Q23261,Hideaki Anno
http://www.wikidata.org/entity/Q23365,Jeremy Renner
http://www.wikidata.org/entity/Q23517,Ricky Gervais
http://www.wikidata.org/entity/Q23547,Bryan Cranston
http://www.wikidata.org/entity/Q23728,Larry David
http://www.wikidata.org/entity/Q23760,Rowan Atkinson
http://www.wikidata.org/entity/Q23844,George Clooney
http://www.wikidata.org/entity/Q23884,Lou Costello
http://www.wikidata.org/entity/Q23888,Bud Abbott
http://www.wikidata.org/entity/Q24532,Theodore Wharton
http://www.wikidata.org/entity/Q24829,Orson Welles
http://www.wikidata.org/entity/Q25014,John Cleese
http://www.wikidata.org/entity/Q25078,Terry Gilliam
http://www.wikidata.org/entity/Q25089,Woody Allen
http://www.wikidata.org/entity/Q25100,Nanni Moretti
http://www.wikidata.org/entity/Q25132,Paul Thomas Anderson
http://www.wikidata.org/entity/Q25144,Kevin Spacey
http://www.wikidata.org/entity/Q25186,Gus Van Sant
http://www.wikidata.org/entity/Q25191,Christopher Nolan
http://www.wikidata.org/entity/Q26091,Kevin Schmidt
http://www.wikidata.org/entity/Q26109,Hannah Harper
http://www.wikidata.org/entity/Q26118,Jack Hawkins
http://www.wikidata.org/entity/Q26178,Félix Solis
http://www.wikidata.org/entity/Q26200,Ben Stassen
http://www.wikidata.org/entity/Q26208,Carlo Lizzani
http://www.wikidata.org/entity/Q26274,Nina Mercedez
http://www.wikidata.org/entity/Q26372,Takeshi Kitano
http://www.wikidata.org/entity/Q26741,Brian Drummond
http://www.wikidata.org/entity/Q26806,Danny DeVito
http://www.wikidata.org/entity/Q27167,Ann Druyan
http://www.wikidata.org/entity/Q27214,Jerry Springer
http://www.wikidata.org/entity/Q28028,Alfonso Cuarón
http://www.wikidata.org/entity/Q28151,John Shea
http://www.wikidata.org/entity/Q28254,Vanessa Branch
http://www.wikidata.org/entity/Q28493,Ralph Fiennes
http://www.wikidata.org/entity/Q28497,Marc Forster
http://www.wikidata.org/entity/Q28556,Michel Hazanavicius
http://www.wikidata.org/entity/Q28755,Matthew Broderick
http://www.wikidata.org/entity/Q28941,Frank Lloyd
http://www.wikidata.org/entity/Q28998,Reinhold Schünzel
http://www.wikidata.org/entity/Q29055,Sacha Baron Cohen
http://www.wikidata.org/entity/Q29086,Matthew Lillard
http://www.wikidata.org/entity/Q29250,Bill Murray
http://www.wikidata.org/entity/Q29328,Brie Larson
http://www.wikidata.org/entity/Q30628,Tera Patrick
http://www.wikidata.org/entity/Q30876,Yash Chopra
http://www.wikidata.org/entity/Q30893,Kevin Bright
http://www.wikidata.org/entity/Q31225,Mark Robson
http://www.wikidata.org/entity/Q31292,Sam Spiegel
http://www.wikidata.org/entity/Q31294,Anne V. Coates
http://www.wikidata.org/entity/Q31409,Jason Antoon
http://www.wikidata.org/entity/Q31549,Brent Corrigan
http://www.wikidata.org/entity/Q31637,Jafar Panahi
http://www.wikidata.org/entity/Q31820,Bill D’Elia
http://www.wikidata.org/entity/Q32335,Nia Vardalos
http://www.wikidata.org/entity/Q32522,Jennifer Aniston
http://www.wikidata.org/entity/Q32661,Jane Goldman
http://www.wikidata.org/entity/Q33635,Hema Malini
http://www.wikidata.org/entity/Q34389,Whitney Houston
http://www.wikidata.org/entity/Q34660,Joanne K. Rowling
http://www.wikidata.org/entity/Q34677,Greg García
http://www.wikidata.org/entity/Q34816,Kathryn Bigelow
http://www.wikidata.org/entity/Q34851,Elizabeth Taylor
http://www.wikidata.org/entity/Q35332,Brad Pitt
http://www.wikidata.org/entity/Q35358,Richard Norton
http://www.wikidata.org/entity/Q35464,Alaura Eden
http://www.wikidata.org/entity/Q36153,Beyoncé
