item,itemLabel
http://www.wikidata.org/entity/Q42,Douglas Adams
http://www.wikidata.org/entity/Q303,Elvis Presley
http://www.wikidata.org/entity/Q392,Bob Dylan
http://www.wikidata.org/entity/Q410,Carl Sagan
http://www.wikidata.org/entity/Q489,Bill Maher
http://www.wikidata.org/entity/Q512,Wladimir Semjonowitsch Wyssozki
http://www.wikidata.org/entity/Q765,Dario Fo
http://www.wikidata.org/entity/Q835,Michail Afanassjewitsch Bulgakow
http://www.wikidata.org/entity/Q853,Andrei Arsenjewitsch Tarkowski
http://www.wikidata.org/entity/Q882,Charlie Chaplin
http://www.wikidata.org/entity/Q905,Franz Kafka
http://www.wikidata.org/entity/Q909,Jorge Luis Borges
http://www.wikidata.org/entity/Q927,Harry Mulisch
http://www.wikidata.org/entity/Q1276,Leonard Cohen
http://www.wikidata.org/entity/Q1395,Leonardo Ortolani
http://www.wikidata.org/entity/Q1403,Luigi Pirandello
http://www.wikidata.org/entity/Q1646,Françoise Sagan
http://www.wikidata.org/entity/Q1666,Jacques Brel
http://www.wikidata.org/entity/Q1698,Serge Gainsbourg
http://www.wikidata.org/entity/Q1744,Madonna
http://www.wikidata.org/entity/Q1785,Charles Aznavour
http://www.wikidata.org/entity/Q2001,Stanley Kubrick
http://www.wikidata.org/entity/Q2022,Cesare Pavese
http://www.wikidata.org/entity/Q2071,David Lynch
http://www.wikidata.org/entity/Q2190,Coluche
http://www.wikidata.org/entity/Q2263,Tom Hanks
http://www.wikidata.org/entity/Q2291,Totò
http://www.wikidata.org/entity/Q2543,Mark Millar
http://www.wikidata.org/entity/Q2593,Matthew Vaughn
http://www.wikidata.org/entity/Q2599,Paul McCartney
http://www.wikidata.org/entity/Q2632,Ringo Starr
http://www.wikidata.org/entity/Q2673,Chuck Norris
http://www.wikidata.org/entity/Q2737,Louis de Funès
http://www.wikidata.org/entity/Q2831,Michael Jackson
http://www.wikidata.org/entity/Q3335,George Orwell
http://www.wikidata.org/entity/Q3772,Quentin Tarantino
http://www.wikidata.org/entity/Q4038,Tony Barbieri
http://www.wikidata.org/entity/Q4109,Chris Rock
http://www.wikidata.org/entity/Q4119,Adam Carolla
http://www.wikidata.org/entity/Q4137,Elsa Triolet
